dir,base,name,offset,rom_addr,usize,method,csize
0x0460540,0x470000,SCG15EB.INI,0x2B92CE,0x07292CE,0x3BA2,0x2200,0x1925
0x0460540,0x470000,SCG15EC.INI,0x2BABF4,0x072ABF4,0x3C03,0x2200,0x1A33
0x0460540,0x470000,SCG22EA.INI,0x2BC628,0x072C628,0x2DDB,0x2200,0x1569
0x0460540,0x470000,SCG23EA.INI,0x2BDB92,0x072DB92,0x3A6B,0x2200,0x19F8
0x0460540,0x470000,SCG30EA.INI,0x2BF58A,0x072F58A,0x29FA,0x2200,0x1319
0x0460540,0x470000,SCG32EA.INI,0x2C08A4,0x07308A4,0x4468,0x2200,0x18D9
0x0460540,0x470000,SCG36EA.INI,0x2C217E,0x073217E,0x29D2,0x2200,0x130A
0x0460540,0x470000,SCG38EA.INI,0x2C3488,0x0733488,0x2DC2,0x2200,0x1318
0x0460540,0x470000,SCG40EA.INI,0x2C47A0,0x07347A0,0x252C,0x2200,0x1087
0x0460540,0x470000,SCG41EA.INI,0x2C5828,0x0735828,0x43D9,0x2200,0x1DC5
0x0460540,0x470000,SCG50EA.INI,0x2C75EE,0x07375EE,0x40E3,0x2200,0x1B73
0x0460540,0x470000,SCG60EA.INI,0x2C9162,0x0739162,0x21E3,0x2200,0xE4B
0x0460540,0x470000,SCG61EA.INI,0x2C9FAE,0x0739FAE,0x207B,0x2200,0xF0A
0x0460540,0x470000,SCG62EA.INI,0x2CAEB8,0x073AEB8,0x2F8A,0x2200,0x1519
0x0460540,0x470000,SCG72EA.INI,0x2CC3D2,0x073C3D2,0x11B9,0x2200,0x7B0
0x0460540,0x470000,SCG90EA.INI,0x2CCB82,0x073CB82,0x2088,0x2200,0xE17
0x0460540,0x470000,SCG71EB.INI,0x2CD99A,0x073D99A,0x2740,0x2200,0x10D0
0x0460540,0x470000,SCG73EA.INI,0x2CEA6A,0x073EA6A,0x4468,0x2200,0x18D9
0x0460540,0x470000,SCG74EA.INI,0x2D0344,0x0740344,0x2008,0x2200,0x9AA
0x0460540,0x470000,SCG72EA.INI,0x2D0CEE,0x0740CEE,0x11B9,0x2200,0x7B0
0x0460540,0x470000,SCB70EA.INI,0x2D149E,0x074149E,0x427E,0x2200,0x1770
0x0460540,0x470000,SCB01EA.MAP,0x2D2C0E,0x0742C0E,0x2000,0x2200,0x707
0x0460540,0x470000,SCB02EA.MAP,0x2D3316,0x0743316,0x2000,0x2200,0x869
0x0460540,0x470000,SCB02EB.MAP,0x2D3B80,0x0743B80,0x2000,0x2200,0x610
0x0460540,0x470000,SCB03EA.MAP,0x2D4190,0x0744190,0x2000,0x2200,0x78C
0x0460540,0x470000,SCB03EB.MAP,0x2D491C,0x074491C,0x2000,0x2200,0x8EA
0x0460540,0x470000,SCB04EA.MAP,0x2D5206,0x0745206,0x2000,0x2200,0x8AA
0x0460540,0x470000,SCB04EB.MAP,0x2D5AB0,0x0745AB0,0x2000,0x2200,0x8CE
0x0460540,0x470000,SCB05EA.MAP,0x2D637E,0x074637E,0x2000,0x2200,0x949
0x0460540,0x470000,SCB06EA.MAP,0x2D6CC8,0x0746CC8,0x2000,0x2200,0x925
0x0460540,0x470000,SCB06EB.MAP,0x2D75EE,0x07475EE,0x2000,0x2200,0xA74
0x0460540,0x470000,SCB06EC.MAP,0x2D8062,0x0748062,0x2000,0x2200,0x8D9
0x0460540,0x470000,SCB07EA.MAP,0x2D893C,0x074893C,0x2000,0x2200,0x9DF
0x0460540,0x470000,SCB07EB.MAP,0x2D931C,0x074931C,0x2000,0x2200,0xAEF
0x0460540,0x470000,SCB07EC.MAP,0x2D9E0C,0x0749E0C,0x2000,0x2200,0xC53
0x0460540,0x470000,SCB08EA.MAP,0x2DAA60,0x074AA60,0x2000,0x2200,0x95B
0x0460540,0x470000,SCB08EB.MAP,0x2DB3BC,0x074B3BC,0x2000,0x2200,0xA8C
0x0460540,0x470000,SCB09EA.MAP,0x2DBE48,0x074BE48,0x2000,0x2200,0xA44
0x0460540,0x470000,SCB10EA.MAP,0x2DC88C,0x074C88C,0x2000,0x2200,0xD13
0x0460540,0x470000,SCB10EB.MAP,0x2DD5A0,0x074D5A0,0x2000,0x2200,0xA84
0x0460540,0x470000,SCB11EA.MAP,0x2DE024,0x074E024,0x2000,0x2200,0xA2B
0x0460540,0x470000,SCB11EB.MAP,0x2DEA50,0x074EA50,0x2000,0x2200,0xC7C
0x0460540,0x470000,SCB12EA.MAP,0x2DF6CC,0x074F6CC,0x2000,0x2200,0xA9B
0x0460540,0x470000,SCB13EA.MAP,0x2E0168,0x0750168,0x2000,0x2200,0x92D
0x0460540,0x470000,SCB13EB.MAP,0x2E0A96,0x0750A96,0x2000,0x2200,0x8B7
0x0460540,0x470000,SCB13EC.MAP,0x2E134E,0x075134E,0x2000,0x2200,0xBA4
0x0460540,0x470000,SCB20EA.MAP,0x2E1EF2,0x0751EF2,0x2000,0x2200,0x9E1
0x0460540,0x470000,SCB21EA.MAP,0x2E28D4,0x07528D4,0x2000,0x2200,0xCCE
0x0460540,0x470000,SCB22EB.MAP,0x2E35A2,0x07535A2,0x2000,0x2200,0x842
0x0460540,0x470000,SCB31EA.MAP,0x2E3DE4,0x0753DE4,0x2000,0x2200,0xB4E
0x0460540,0x470000,SCB32EA.MAP,0x2E4932,0x0754932,0x2000,0x2200,0xA9E
0x0460540,0x470000,SCB33EA.MAP,0x2E53D0,0x07553D0,0x2000,0x2200,0xAAF
0x0460540,0x470000,SCB35EA.MAP,0x2E5E80,0x0755E80,0x2000,0x2200,0x670
0x0460540,0x470000,SCB37EA.MAP,0x2E64F0,0x07564F0,0x2000,0x2200,0x730
0x0460540,0x470000,SCB60EA.MAP,0x2E6C20,0x0756C20,0x2000,0x2200,0x8C7
